node_id,birthday,education;classes;id,education;concentration;id,education;degree;id,education;school;id,education;type,education;with;id,education;year;id,first_name,gender,hometown;id,languages;id,last_name,locale,location;id,work;employer;id,work;end_date,work;location;id,work;position;id,work;start_date,work;with;id,middle_name,work;from;id,work;projects;id,religion,name,political
0,,,,,52,55,,,,78,,,,127,,,,,,,,,,,,,
1,,,,,,,,,,,,,,127,,,,,,,,,,,,,
2,,,,,,55,,,,78,,,,,,,,,,,,,,,,,
3,7,,,,,55,,,,78,,,,127,,,,,,,,,,,,,
4,,,,,,55,56,,,78,,,,127,,,,,,,,,,,,,
5,,,,,,,,,,78,,,,127,,,,,,,,,,,,,
6,,,,,,55,,,,78,,,,127,,,,,,,,,,,,,
7,,,,,,55,,,,78,,,,127,,,,,,,,,,,,,
8,,,,,,,,,,78,,,,127,,,,,,,,,,,,,
9,,,,,,,,,,78,,,,127,,,,,,,,,,,,,
10,,,,,,55,,,,78,,,,127,,,,,,,,,,,,,
11,,,,,,,,,,,,,,127,,,,,,,,,,,,,
12,,,,,,55,,,,,,,,127,,,,,,,,,,,,,
13,7,,,,,55,,,,78,,,,127,,,,,,,,,,,,,
14,,,,,,55,,,,78,,,,127,,,,,,,,,,,,,
15,,,,,,,,,,,,,,127,,,,,,,,,,,,,
16,,,,,,55,,,,,,,,127,,,,,,,,,,,,,
17,,,,,,55,,,,78,,,,127,,,,,,,,,,,,,
18,,,,,,55,,,,,,,,127,,,,,,,,,,,,,
19,,,,,,55,,,,78,,,,127,,,,,,,,,,,,,
20,,,,,,55,,,,78,,,,127,,,,,,,,,,,,,
21,,,,,,,,,,,,,,127,,,,,,,,,,,,,
22,,,,,,55,,,,78,,,,127,,,,,,,,,,,,,
23,,,,,,55,,,,,,,,127,,,,,,,,,,,,,
24,,,19,,,55,,72,,78,,,,127,,,,,,,,,,,,,
25,,,,,,55,,,,78,,,,127,,,172,,193,,,,,,,,
26,,,,,,,,,,78,,,,127,,,,,,,,,,,,,
27,,,,,,55,,,,78,,,,127,,,,,,,,,,,,,
28,,,,,,,,,,,,,,127,,,,,,,,,,,,,
29,,,,,,55,,,,,,,,,,,,,,,,,,,,,
30,,,,,,,,,,,,,,127,,,,,,,,,,,,,
31,,,,,,55,,,,78,,,,127,,,,,,,,,,,,,
32,,,,,,,,,,,,,,127,,,,,,,,,,,,,
33,,,,,,55,,,,78,,,,127,,,,,,,,,,,,,
34,,,,,,55,,,,78,,,,127,,,,,,,,,,,,,
35,,,,,,55,,,,78,,,,127,,,,,,,,,,,,,
36,,,,,,55,,,,,,,,127,,,,,,,,,,,,,
37,,,,,,55,,,,,,,,127,,,,,193,,,,,,,,
38,,,,,,55,,72,,78,,,,127,,,,,,,,,,,,,
39,,,,,,,,,,78,,,,127,,,,,,,,,,,,,
40,,,,,,55,,72,,78,,,,127,,,,,,,,,,,,,
41,,,,,,,,,,78,,,,127,,,,,,,,,,,,,
42,,,,,,55,,,,78,,,,127,,,,,,,,,,,,,
43,,,,,,55,,,,,,,,127,,,,,,,,,,,,,
44,,,,,,55,,,,78,,,,127,,,,,,,,,,,,,
45,,,,,,55,,,,,,,,127,,,,,,,,,,,,,
46,,,,,,55,,,,78,,,,127,,,,,,,,,,,,,
47,,,,,,55,,72,,,,,,127,,,,,,,,,,,,,
48,,,,,,55,,,,,,,,127,,,,,,,,,,,,,
49,,,,,,55,,,,,,,,127,,,,,,,,,,,,,
50,,,,,,,,72,,78,,,,127,,,,,,,,,,,,,
51,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,,,,,,55,,,,,,,,127,,,,,,,,,,,,,
53,,,,,,,,,,,,,,127,,,,,,,,,,,,,
54,,,,,,,,,,78,,,,127,,,,,,,,,,,,,
55,,,,,,55,,,,78,,,,127,,,,,,,,,,,,,
56,7,,,,,55,,,,,,,,127,,,,,,,,,,,,,
57,,,,,,,,,,78,,,,127,,,,,,,,,,,,,
58,,,,22,52,55,,72,,78,,,,127,,,,,,,,,,,,,
59,,,,,,55,,,,,89,,,127,,,,,,,,,,,,,
