dataset,game,update_rule,p,final_cooperators_pct,final_defectors_pct,convergence_iteration
facebook,evolutionary_game_round,imitate_best_neighbor,0.25,0.0,100.0,3
facebook,evolutionary_game_round,imitate_best_neighbor,0.5,77.25,22.75,5
facebook,evolutionary_game_round,imitate_best_neighbor,0.75,95.79,4.21,5
facebook,evolutionary_game_round,fermi_update,0.25,1.51,98.49,10
facebook,evolutionary_game_round,fermi_update,0.5,5.89,94.11,7
facebook,evolutionary_game_round,fermi_update,0.75,5.94,94.06,17
epinion,evolutionary_game_round,imitate_best_neighbor,0.25,7.95,92.05,4
epinion,evolutionary_game_round,imitate_best_neighbor,0.5,17.18,82.82,6
epinion,evolutionary_game_round,imitate_best_neighbor,0.75,27.43,72.57,8
epinion,evolutionary_game_round,fermi_update,0.25,8.05,91.95,9
epinion,evolutionary_game_round,fermi_update,0.5,17.69,82.31,16
epinion,evolutionary_game_round,fermi_update,0.75,30.47,69.53,20
epinion,evolutionary_game_round,trust_aware_update,0.25,9.32,90.68,4
epinion,evolutionary_game_round,trust_aware_update,0.5,19.82,80.18,6
epinion,evolutionary_game_round,trust_aware_update,0.75,31.53,68.47,7
epinion,evolutionary_game_round,all_neighbors_trust_aware_update,0.25,92.24,7.76,4
epinion,evolutionary_game_round,all_neighbors_trust_aware_update,0.5,92.25,7.75,4
epinion,evolutionary_game_round,all_neighbors_trust_aware_update,0.75,92.27,7.73,4
epinion,game_round_trust,imitate_best_neighbor,0.25,62.66,37.34,19
epinion,game_round_trust,imitate_best_neighbor,0.5,71.55,28.45,19
epinion,game_round_trust,imitate_best_neighbor,0.75,80.42,19.58,20
epinion,game_round_trust,fermi_update,0.25,63.61,36.39,9
epinion,game_round_trust,fermi_update,0.5,72.79,27.21,9
epinion,game_round_trust,fermi_update,0.75,81.93,18.07,9
epinion,game_round_trust,trust_aware_update,0.25,60.15,39.85,14
epinion,game_round_trust,trust_aware_update,0.5,69.78,30.22,14
epinion,game_round_trust,trust_aware_update,0.75,79.43,20.57,14
epinion,game_round_trust,all_neighbors_trust_aware_update,0.25,90.54,9.46,8
epinion,game_round_trust,all_neighbors_trust_aware_update,0.5,90.57,9.43,8
epinion,game_round_trust,all_neighbors_trust_aware_update,0.75,90.57,9.43,7
