----------------------------------------------------------------------------------------------------
Running facebook with evolutionary_game_round, imitate_best_neighbor, initial coinflip p=0.25
Iteration 0 Strategy Distribution: 25.67% cooperators, 74.33% defectors, Total: 4039
Iteration 1 Strategy Distribution: 21.12% cooperators, 78.88% defectors
Iteration 2 Strategy Distribution: 0.00% cooperators, 100.00% defectors
Iteration 3 Strategy Distribution: 0.00% cooperators, 100.00% defectors
Iteration 4 Strategy Distribution: 0.00% cooperators, 100.00% defectors
Iteration 5 Strategy Distribution: 0.00% cooperators, 100.00% defectors
Iteration 6 Strategy Distribution: 0.00% cooperators, 100.00% defectors
Iteration 7 Strategy Distribution: 0.00% cooperators, 100.00% defectors
Iteration 8 Strategy Distribution: 0.00% cooperators, 100.00% defectors
Iteration 9 Strategy Distribution: 0.00% cooperators, 100.00% defectors
Iteration 10 Strategy Distribution: 0.00% cooperators, 100.00% defectors
Iteration 11 Strategy Distribution: 0.00% cooperators, 100.00% defectors
Iteration 12 Strategy Distribution: 0.00% cooperators, 100.00% defectors
Iteration 13 Strategy Distribution: 0.00% cooperators, 100.00% defectors
Iteration 14 Strategy Distribution: 0.00% cooperators, 100.00% defectors
Iteration 15 Strategy Distribution: 0.00% cooperators, 100.00% defectors
Iteration 16 Strategy Distribution: 0.00% cooperators, 100.00% defectors
Iteration 17 Strategy Distribution: 0.00% cooperators, 100.00% defectors
Iteration 18 Strategy Distribution: 0.00% cooperators, 100.00% defectors
Iteration 19 Strategy Distribution: 0.00% cooperators, 100.00% defectors
Iteration 20 Strategy Distribution: 0.00% cooperators, 100.00% defectors
----------------------------------------------------------------------------------------------------
Running facebook with evolutionary_game_round, imitate_best_neighbor, initial coinflip p=0.5
Iteration 0 Strategy Distribution: 50.61% cooperators, 49.39% defectors, Total: 4039
Iteration 1 Strategy Distribution: 62.05% cooperators, 37.95% defectors
Iteration 2 Strategy Distribution: 66.28% cooperators, 33.72% defectors
Iteration 3 Strategy Distribution: 72.72% cooperators, 27.28% defectors
Iteration 4 Strategy Distribution: 77.22% cooperators, 22.78% defectors
Iteration 5 Strategy Distribution: 77.25% cooperators, 22.75% defectors
Iteration 6 Strategy Distribution: 77.25% cooperators, 22.75% defectors
Iteration 7 Strategy Distribution: 77.25% cooperators, 22.75% defectors
Iteration 8 Strategy Distribution: 77.25% cooperators, 22.75% defectors
Iteration 9 Strategy Distribution: 77.25% cooperators, 22.75% defectors
Iteration 10 Strategy Distribution: 77.25% cooperators, 22.75% defectors
Iteration 11 Strategy Distribution: 77.25% cooperators, 22.75% defectors
Iteration 12 Strategy Distribution: 77.25% cooperators, 22.75% defectors
Iteration 13 Strategy Distribution: 77.25% cooperators, 22.75% defectors
Iteration 14 Strategy Distribution: 77.25% cooperators, 22.75% defectors
Iteration 15 Strategy Distribution: 77.25% cooperators, 22.75% defectors
Iteration 16 Strategy Distribution: 77.25% cooperators, 22.75% defectors
Iteration 17 Strategy Distribution: 77.25% cooperators, 22.75% defectors
Iteration 18 Strategy Distribution: 77.25% cooperators, 22.75% defectors
Iteration 19 Strategy Distribution: 77.25% cooperators, 22.75% defectors
Iteration 20 Strategy Distribution: 77.25% cooperators, 22.75% defectors
----------------------------------------------------------------------------------------------------
Running facebook with evolutionary_game_round, imitate_best_neighbor, initial coinflip p=0.75
Iteration 0 Strategy Distribution: 74.72% cooperators, 25.28% defectors, Total: 4039
Iteration 1 Strategy Distribution: 84.82% cooperators, 15.18% defectors
Iteration 2 Strategy Distribution: 88.14% cooperators, 11.86% defectors
Iteration 3 Strategy Distribution: 95.49% cooperators, 4.51% defectors
Iteration 4 Strategy Distribution: 95.79% cooperators, 4.21% defectors
Iteration 5 Strategy Distribution: 95.79% cooperators, 4.21% defectors
Iteration 6 Strategy Distribution: 95.79% cooperators, 4.21% defectors
Iteration 7 Strategy Distribution: 95.79% cooperators, 4.21% defectors
Iteration 8 Strategy Distribution: 95.79% cooperators, 4.21% defectors
Iteration 9 Strategy Distribution: 95.79% cooperators, 4.21% defectors
Iteration 10 Strategy Distribution: 95.79% cooperators, 4.21% defectors
Iteration 11 Strategy Distribution: 95.79% cooperators, 4.21% defectors
Iteration 12 Strategy Distribution: 95.79% cooperators, 4.21% defectors
Iteration 13 Strategy Distribution: 95.79% cooperators, 4.21% defectors
Iteration 14 Strategy Distribution: 95.79% cooperators, 4.21% defectors
Iteration 15 Strategy Distribution: 95.79% cooperators, 4.21% defectors
Iteration 16 Strategy Distribution: 95.79% cooperators, 4.21% defectors
Iteration 17 Strategy Distribution: 95.79% cooperators, 4.21% defectors
Iteration 18 Strategy Distribution: 95.79% cooperators, 4.21% defectors
Iteration 19 Strategy Distribution: 95.79% cooperators, 4.21% defectors
Iteration 20 Strategy Distribution: 95.79% cooperators, 4.21% defectors
----------------------------------------------------------------------------------------------------
Running facebook with evolutionary_game_round, fermi_update, initial coinflip p=0.25
Iteration 0 Strategy Distribution: 25.67% cooperators, 74.33% defectors, Total: 4039
Iteration 1 Strategy Distribution: 10.57% cooperators, 89.43% defectors
Iteration 2 Strategy Distribution: 3.02% cooperators, 96.98% defectors
Iteration 3 Strategy Distribution: 1.46% cooperators, 98.54% defectors
Iteration 4 Strategy Distribution: 1.39% cooperators, 98.61% defectors
Iteration 5 Strategy Distribution: 1.56% cooperators, 98.44% defectors
Iteration 6 Strategy Distribution: 1.36% cooperators, 98.64% defectors
Iteration 7 Strategy Distribution: 1.68% cooperators, 98.32% defectors
Iteration 8 Strategy Distribution: 1.63% cooperators, 98.37% defectors
Iteration 9 Strategy Distribution: 1.54% cooperators, 98.46% defectors
Iteration 10 Strategy Distribution: 1.56% cooperators, 98.44% defectors
Iteration 11 Strategy Distribution: 1.26% cooperators, 98.74% defectors
Iteration 12 Strategy Distribution: 1.56% cooperators, 98.44% defectors
Iteration 13 Strategy Distribution: 1.66% cooperators, 98.34% defectors
Iteration 14 Strategy Distribution: 1.86% cooperators, 98.14% defectors
Iteration 15 Strategy Distribution: 1.63% cooperators, 98.37% defectors
Iteration 16 Strategy Distribution: 1.51% cooperators, 98.49% defectors
Iteration 17 Strategy Distribution: 1.63% cooperators, 98.37% defectors
Iteration 18 Strategy Distribution: 1.41% cooperators, 98.59% defectors
Iteration 19 Strategy Distribution: 1.34% cooperators, 98.66% defectors
Iteration 20 Strategy Distribution: 1.51% cooperators, 98.49% defectors
----------------------------------------------------------------------------------------------------
Running facebook with evolutionary_game_round, fermi_update, initial coinflip p=0.5
Iteration 0 Strategy Distribution: 50.61% cooperators, 49.39% defectors, Total: 4039
Iteration 1 Strategy Distribution: 34.86% cooperators, 65.14% defectors
Iteration 2 Strategy Distribution: 19.83% cooperators, 80.17% defectors
Iteration 3 Strategy Distribution: 9.90% cooperators, 90.10% defectors
Iteration 4 Strategy Distribution: 6.68% cooperators, 93.32% defectors
Iteration 5 Strategy Distribution: 6.41% cooperators, 93.59% defectors
Iteration 6 Strategy Distribution: 5.87% cooperators, 94.13% defectors
Iteration 7 Strategy Distribution: 5.84% cooperators, 94.16% defectors
Iteration 8 Strategy Distribution: 6.16% cooperators, 93.84% defectors
Iteration 9 Strategy Distribution: 5.84% cooperators, 94.16% defectors
Iteration 10 Strategy Distribution: 6.07% cooperators, 93.93% defectors
Iteration 11 Strategy Distribution: 5.25% cooperators, 94.75% defectors
Iteration 12 Strategy Distribution: 5.67% cooperators, 94.33% defectors
Iteration 13 Strategy Distribution: 5.47% cooperators, 94.53% defectors
Iteration 14 Strategy Distribution: 5.40% cooperators, 94.60% defectors
Iteration 15 Strategy Distribution: 5.22% cooperators, 94.78% defectors
Iteration 16 Strategy Distribution: 5.67% cooperators, 94.33% defectors
Iteration 17 Strategy Distribution: 5.72% cooperators, 94.28% defectors
Iteration 18 Strategy Distribution: 5.92% cooperators, 94.08% defectors
Iteration 19 Strategy Distribution: 5.20% cooperators, 94.80% defectors
Iteration 20 Strategy Distribution: 5.89% cooperators, 94.11% defectors
----------------------------------------------------------------------------------------------------
